Campo,Tabela ,Descrição: ,Data quality,Origem: ,Formato: ,Transformação: ,Valores esperados: ,Nullable: ,Comment
ship_mode,dim_shipping,O modo de envio usado para o pedido,,Master data,string,"Extraído da tabela original, sem ajustes","String de caracteres com as opções First Class, Same Day, Second Class, e Standart Class",Não,"Descrição:  O modo de envio usado para o pedido, Origem:  Master data, Formato: string, Transformação:  Extraído da tabela original, sem ajustes, String de caracteres com as opções First Class, Same Day, Second Class, e Standart Class String de caracteres com as opções First Class, Same Day, Second Class, e Standart Class, Nullable:  Não"
ship_code,dim_shipping,Identificador único do modo de envio,,Gerado sistematicamente,integer,"Criado no processo de etl, para permitir conexões ","Numéro inteiro, maior que 0.",Não,"Descrição:  Identificador único do modo de envio, Origem:  Gerado sistematicamente, Formato: integer, Transformação:  Criado no processo de etl, para permitir conexões , String de caracteres com as opções First Class, Same Day, Second Class, e Standart Class Numéro inteiro, maior que 0., Nullable:  Não"
store_code,dim_stores,Identificador único da loja,,Gerado sistematicamente,integer,"Criado no processo de etl, para permitir conexões ","Criado a partir da primeira palavra do nome do país, somado a um número de 1 a 147 ",Não,"Descrição:  Identificador único da loja, Origem:  Gerado sistematicamente, Formato: integer, Transformação:  Criado no processo de etl, para permitir conexões , Numério decimal, positivo de 1 a 4 Criado a partir da primeira palavra do nome do país, somado a um número de 1 a 147 , Nullable:  Não"
market,dim_stores,O mercado ou região onde a superloja opera,,Master data,string,"Extraído da tabela original, sem ajustes","Mercado onde a loja opera, valores possívies: Africa, APAC, Canada, EMEA, EU, LATAM, US",Não,"Descrição:  O mercado ou região onde a superloja opera, Origem:  Master data, Formato: string, Transformação:  Extraído da tabela original, sem ajustes, Criado a partir da primeira palavra do nome do país, somado a um número de 1 a 147  Mercado onde a loja opera, valores possívies: Africa, APAC, Canada, EMEA, EU, LATAM, US, Nullable:  Não"
country,dim_stores,O país onde a superloja está localizada,,Master data,string,"Extraído da tabela original, sem ajustes","Nome do país, Múltiplas possibilidades",Não,"Descrição:  O país onde a superloja está localizada, Origem:  Master data, Formato: string, Transformação:  Extraído da tabela original, sem ajustes, Nome da região, nomes possíveis são: Africa, Canada, Caribbean, Central, Central Asia, East, EMEA, North, North Asia, Oceania, South, Southeast Asia, West Nome do país, Múltiplas possibilidades, Nullable:  Não"
date,dim_timetable,Data específica a ser conectada para análises históricas,,Gerado sistematicamente,date,"Criado no processo de etl, para permitir conexões ","Data em formato de 10 dígitos, separada por - na ordem YYYY-MM-DD",Não,"Descrição:  Data específica a ser conectada para análises históricas, Origem:  Gerado sistematicamente, Formato: date, Transformação:  Criado no processo de etl, para permitir conexões , Número decimal, representando a porcentagem de desconto aplicado ao produto. É possível que seja zero, uma vez que é possível vender um produto sem desconto. No entanto, não deveria ser maior que 1, uma vez que não é possível obter mais de 100% de desconto Data em formato de 10 dígitos, separada por - na ordem YYYY-MM-DD, Nullable:  Não"
year,dim_timetable,Ano da data,,Gerado sistematicamente,integer,Extraído da data na tabela ,"Numéro inteiro, maior que 0, entre 2011 e 2014",Não,"Descrição:  Ano da data, Origem:  Gerado sistematicamente, Formato: integer, Transformação:  Extraído da data na tabela , Data em formato de 10 dígitos, separada por - na ordem YYYY-MM-DD Numéro inteiro, maior que 0, entre 2011 e 2014, Nullable:  Não"
month,dim_timetable,Mês da data ,,Gerado sistematicamente,integer,Extraído da data na tabela ,"Numéro inteiro, maior que 0, entre 1 e 12",Não,"Descrição:  Mês da data , Origem:  Gerado sistematicamente, Formato: integer, Transformação:  Extraído da data na tabela , Numéro inteiro, maior que 0, entre 2011 e 2014 Numéro inteiro, maior que 0, entre 1 e 12, Nullable:  Não"
day,dim_timetable,Dia da data,,Gerado sistematicamente,integer,Extraído da data na tabela ,"Numéro inteiro, maior que 0, entre 1 e 31",Não,"Descrição:  Dia da data, Origem:  Gerado sistematicamente, Formato: integer, Transformação:  Extraído da data na tabela , Numéro inteiro, maior que 0, entre 1 e 12 Numéro inteiro, maior que 0, entre 1 e 31, Nullable:  Não"
year_month,dim_timetable,Mês e ano da data ,,Gerado sistematicamente,string,Extraído da data na tabela ,"String com a concatenação de ano e mês com um hífem, seguindo o padrão YYYY-MM ",Não,"Descrição:  Mês e ano da data , Origem:  Gerado sistematicamente, Formato: string, Transformação:  Extraído da data na tabela , Numéro inteiro, maior que 0, entre 1 e 31 String com a concatenação de ano e mês com um hífem, seguindo o padrão YYYY-MM , Nullable:  Não"
week_num,dim_timetable,Número da semana da data,,Gerado sistematicamente,integer,Extraído da data na tabela ,"Numéro inteiro, maior que 0, entre 1 e 53",Não,"Descrição:  Número da semana da data, Origem:  Gerado sistematicamente, Formato: integer, Transformação:  Extraído da data na tabela , String com a concatenação de ano e mês com um hífem, seguindo o padrão YYYY-MM  Numéro inteiro, maior que 0, entre 1 e 53, Nullable:  Não"
quarter,dim_timetable,Trimestre da data ,,Gerado sistematicamente,integer,Extraído da data na tabela ,"Numéro inteiro, maior que 0, entre 1 e 4",Não,"Descrição:  Trimestre da data , Origem:  Gerado sistematicamente, Formato: integer, Transformação:  Extraído da data na tabela , Numéro inteiro, maior que 0, entre 1 e 53 Numéro inteiro, maior que 0, entre 1 e 4, Nullable:  Não"
semester,dim_timetable,Semestre da data ,,Gerado sistematicamente,integer,Extraído da data na tabela ,"Numéro inteiro, maior que 0, entre 1 e 2",Não,"Descrição:  Semestre da data , Origem:  Gerado sistematicamente, Formato: integer, Transformação:  Extraído da data na tabela , Numéro inteiro, maior que 0, entre 1 e 4 Numéro inteiro, maior que 0, entre 1 e 2, Nullable:  Não"
order_item_id,fact_order_items,Um identificador único para cada linha no conjunto de dados,,Master data,string,"Extraído da tabela original, sem ajustes",String de caracteres com múltiplos valores possíveis e mínimo de 7,Não,"Descrição:  Um identificador único para cada linha no conjunto de dados, Origem:  Master data, Formato: string, Transformação:  Extraído da tabela original, sem ajustes, Numéro inteiro, maior que 0. String de caracteres com múltiplos valores possíveis e mínimo de 7, Nullable:  Não"
order_id,fact_order_items,Um identificador único para cada pedido,,Master data,string,"Extraído da tabela original, sem ajustes",String de caracteres com múltiplos valores possíveis e mínimo de 9 caracteres,Não,"Descrição:  Um identificador único para cada pedido, Origem:  Master data, Formato: string, Transformação:  Extraído da tabela original, sem ajustes, String de caracteres com múltiplos valores possíveis e mínimo de 7 String de caracteres com múltiplos valores possíveis e mínimo de 9 caracteres, Nullable:  Não"
product_id,fact_order_items,Um identificador único para cada produto,,Master data,string,"Extraído da tabela original, sem ajustes","String de 16 caracteres, alfanumérico",Não,"Descrição:  Um identificador único para cada produto, Origem:  Master data, Formato: string, Transformação:  Extraído da tabela original, sem ajustes, String de caracteres com múltiplos valores possíveis e mínimo de 9 caracteres String de 16 caracteres, alfanumérico, Nullable:  Não"
item_quantity,fact_order_items,A quantidade de produtos pedidos,,Master data,integer,"Extraído da tabela original, sem ajustes","Numéro inteiro, maior que 0. Por natureza não há máximo para uma compra, mas números muito acima de um range plausível podem ser identificados como erros ou outliers. ",Não,"Descrição:  A quantidade de produtos pedidos, Origem:  Master data, Formato: integer, Transformação:  Extraído da tabela original, sem ajustes, String de 16 caracteres, alfanumérico Numéro inteiro, maior que 0. Por natureza não há máximo para uma compra, mas números muito acima de um range plausível podem ser identificados como erros ou outliers. , Nullable:  Não"
item_sale,fact_order_items,O valor total de vendas para o item no pedido,,Master data,float,"Convertido de int para float, pois é mais adeqaudo para valores financeiros. Soma todos os valores sales da tabela order items","Número decimal, positivo. Não deve ser zero, visto que um pedido não deveria existir sem nenhum tipo de produto vendido. ",Não,"Descrição:  O valor total de vendas para o item no pedido, Origem:  Master data, Formato: float, Transformação:  Convertido de int para float, pois é mais adeqaudo para valores financeiros. Soma todos os valores sales da tabela order items, Número decimal. Poder ser negativo ou positivo, uma vez que é possível vender um produto obtendo prejuízo com a venda Número decimal, positivo. Não deve ser zero, visto que um pedido não deveria existir sem nenhum tipo de produto vendido. , Nullable:  Não"
item_profit,fact_order_items,O lucro gerado com o produto dentro deste pedido ,,Master data,float,"Extraído da tabela original, sem ajustes","Número decimal. Poder ser negativo ou positivo, uma vez que é possível vender um produto obtendo prejuízo com a venda",Não,"Descrição:  O lucro gerado com o produto dentro deste pedido , Origem:  Master data, Formato: float, Transformação:  Extraído da tabela original, sem ajustes, Numéro inteiro, maior que 0. Por natureza não há máximo para uma compra, mas números muito acima de um range plausível podem ser identificados como erros ou outliers.  Número decimal. Poder ser negativo ou positivo, uma vez que é possível vender um produto obtendo prejuízo com a venda, Nullable:  Não"
item_discount,fact_order_items,O desconto aplicado ao pedido,,Master data,float,"Extraído da tabela original, sem ajustes","Número decimal, representando a porcentagem de desconto aplicado ao produto. É possível que seja zero, uma vez que é possível vender um produto sem desconto. No entanto, não deveria ser maior que 1, uma vez que não é possível obter mais de 100% de desconto",Sim,"Descrição:  O desconto aplicado ao pedido, Origem:  Master data, Formato: float, Transformação:  Extraído da tabela original, sem ajustes, Número decimal. Poder ser negativo ou positivo, uma vez que é possível vender um produto obtendo prejuízo com a venda Número decimal, representando a porcentagem de desconto aplicado ao produto. É possível que seja zero, uma vez que é possível vender um produto sem desconto. No entanto, não deveria ser maior que 1, uma vez que não é possível obter mais de 100% de desconto, Nullable:  Sim"
order_id,fact_orders,Um identificador único para cada pedido,,Master data,string,"Extraído da tabela original, sem ajustes",String de caracteres com múltiplos valores possíveis e mínimo de 9 caracteres,Não,"Descrição:  Um identificador único para cada pedido, Origem:  Master data, Formato: string, Transformação:  Extraído da tabela original, sem ajustes, Data em formato de 10 dígitos, separada por - na ordem YYYY-MM-DD String de caracteres com múltiplos valores possíveis e mínimo de 9 caracteres, Nullable:  Não"
ship_date,fact_orders,A data em que o pedido foi enviado,,Master data,date,"Convertido de date time para date, uma vez que a granularidade de hora não é necessária","Data em formato de 10 dígitos, separada por - na ordem YYYY-MM-DD",Não,"Descrição:  A data em que o pedido foi enviado, Origem:  Master data, Formato: date, Transformação:  Convertido de date time para date, uma vez que a granularidade de hora não é necessária, Número decimal, positivo. Não deve ser zero, visto que um pedido não deveria existir sem nenhum tipo de produto vendido.  Data em formato de 10 dígitos, separada por - na ordem YYYY-MM-DD, Nullable:  Não"
store_code,fact_orders,Identificador único da loja,,Gerado sistematicamente,string,"Criado no processo de etl, para permitir conexões ","Criado a partir da primeira palavra do nome do país, somado a um número de 1 a 147 ",Não,"Descrição:  Identificador único da loja, Origem:  Gerado sistematicamente, Formato: string, Transformação:  Criado no processo de etl, para permitir conexões , Numério decimal, positivo. Pode ser zero, caso não haja custo para envio.  Criado a partir da primeira palavra do nome do país, somado a um número de 1 a 147 , Nullable:  Não"
priority_level,fact_orders,Chave que identifica a prioridade do pedido,,Gerado sistematicamente,integer,"Criado no processo de etl, para permitir conexões ","Numério decimal, positivo de 1 a 4",Não,"Descrição:  Chave que identifica a prioridade do pedido, Origem:  Gerado sistematicamente, Formato: integer, Transformação:  Criado no processo de etl, para permitir conexões , String de caracteres com múltiplos valores possíveis e mínimo de 9 caracteres Numério decimal, positivo de 1 a 4, Nullable:  Não"
order_date,fact_orders,A data em que o pedido foi feito,,Master data,date,"Convertido de date time para date, uma vez que a granularidade de hora não é necessária","Data em formato de 10 dígitos, separada por - na ordem YYYY-MM-DD",Não,"Descrição:  A data em que o pedido foi feito, Origem:  Master data, Formato: date, Transformação:  Convertido de date time para date, uma vez que a granularidade de hora não é necessária, String de caracteres com 17 valores possívies dentro do universo de produtos para escritórios Data em formato de 10 dígitos, separada por - na ordem YYYY-MM-DD, Nullable:  Não"
ship_code,fact_orders,O modo de envio usado para o pedido,,Master data,string,"Extraído da tabela original, sem ajustes","String de caracteres com as opções First Class, Same Day, Second Class, e Standart Class",Não,"Descrição:  O modo de envio usado para o pedido, Origem:  Master data, Formato: string, Transformação:  Extraído da tabela original, sem ajustes, Criado a partir da primeira palavra do nome do país, somado a um número de 1 a 147  String de caracteres com as opções First Class, Same Day, Second Class, e Standart Class, Nullable:  Não"
order_sale,fact_orders,O valor total de vendas para o pedido,,Master data,float,"Convertido de int para float, pois é mais adeqaudo para valores financeiros. Soma todos os valores sales da tabela order items","Número decimal, positivo. Não deve ser zero, visto que um pedido não deveria existir sem nenhum tipo de produto vendido. ",Não,"Descrição:  O valor total de vendas para o pedido, Origem:  Master data, Formato: float, Transformação:  Convertido de int para float, pois é mais adeqaudo para valores financeiros. Soma todos os valores sales da tabela order items, Número decimal. Poder ser negativo ou positivo, uma vez que é possível vender um produto obtendo prejuízo com a venda Número decimal, positivo. Não deve ser zero, visto que um pedido não deveria existir sem nenhum tipo de produto vendido. , Nullable:  Não"
order_profit,fact_orders,O lucro gerado com o pedido,,Master data,float,"Soma o valor profit de todos os items presentes no pedido, a partir da tabela order_items","Número decimal. Poder ser negativo ou positivo, uma vez que é possível vender um produto obtendo prejuízo com a venda",Não,"Descrição:  O lucro gerado com o pedido, Origem:  Master data, Formato: float, Transformação:  Soma o valor profit de todos os items presentes no pedido, a partir da tabela order_items, Numério decimal, positivo de 1 a 4 Número decimal. Poder ser negativo ou positivo, uma vez que é possível vender um produto obtendo prejuízo com a venda, Nullable:  Não"
ship_cost,fact_orders,O custo de envio para o pedido,,Master data,float,"Extraído da tabela original, sem ajustes","Numério decimal, positivo. Pode ser zero, caso não haja custo para envio. ",Não,"Descrição:  O custo de envio para o pedido, Origem:  Master data, Formato: float, Transformação:  Extraído da tabela original, sem ajustes, Data em formato de 10 dígitos, separada por - na ordem YYYY-MM-DD Numério decimal, positivo. Pode ser zero, caso não haja custo para envio. , Nullable:  Não"
